ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI,ANCHOR,MAXI
1,100,78,377,160,534*,254,717,329,214,401,903,891,874,1011,268,1089,617*
2,104*,85,459,161,619*,255,717,330,217,403,900,892,268,1012,205,1090,612
6,265,86,459,162,569,256,718*,332,218*,410,618,893,262,1013,274,1092,777
8,259,87,465,164,566,257,738,333,223,433,615,894,410,1014,245*,1094,359
9,256,88,471,167,636,258,738,334,223,681,806,895,413,1015,241,1096,639
10,253,89,471,168,642,259,832,335,223,683,748*,896,420,1016,404,1098,323
11,247,90,462,169,572,260,832,336,271,778,268,897,238,1017,432,1201,533
13,226,92,457*,170,569,261,729,337,257*,779,642,898,939*,1018,432,1202,962
19,235,94,468,175,539,262,808,338,274,830,923,899,925,1019,417,1203,964
20,241,95,462,176,527,263,810,339,844,831,925,900,800,1020,335,1204,968
22,241,96,459,177,525*,264,711,340,846,832,818,901,161,1021,338,1206,966
23,340*,97,456,178,518,265,712*,341,846,842,832,903,936,1022,259,1207,972
24,338,98,447,185,774,266,723,342,438,843,804,904,814,1023,413,1209,976
25,341,99,456,186,771,267,723,343,621,844,820,905,938,1024,420,1210,980
26,344,100,453,187,768,268,720,347,870,845,820,906,823*,1025,235,1211,982
27,345*,101,450,188,768,269,812,349,164,846,812,907,152,1026,268,1212,978
28,329,102,503,189,768,271,268,351,850,847,675,914,865*,1027,420,1213,986
29,334*,103,365,203,756,273,814,352,856,848,648,920,636,1028,426,1215,990
31,343*,108,515,204,756,274,648,355,878,849,654,921,627,1029,426,1216,992
33,317,109,509,205,759,275,106,357,880,850,654,922,630,1030,515,1217,956
35,320,110,506,206,672,276,868,358,882,851,645,923,762,1031,639,1218,950
36,347,111,447,208,756,277,161,359,882,852,869*,924,805*,1032,536,1220,954
38,326,112,450,209,759,278,830,360,854,853,818,925,122*,1033,621,4146,265
39,314,117,530,210,750,279,829*,361,874,854,818,926,888,1034,633,5975,844
40,357*,118,527,211,750,280,826,362,874,855,818,928,636,1035,630,8581,920
41,327*,119,503,212,660,281,826,363,152,856,820,933,205,1036,560,9046,232
42,313*,120,536,213,675,288,132,365,167,858,802,936,858,1037,915,9159,636
43,308,121,530,214,672,289,143,366,890,859,802,939,530,1038,633,9575,271
44,241,122,521,215,669,290,143,367,870,860,802,940,524,1039,633,,
45,238,123,521,216,663,291,136*,368,876,861,810,941,521,1040,918,,
46,229,127,554,217,750,292,109,369,876,862,810,942,874,1041,816,,
47,234*,128,536,218,808,293,132,370,878,868,271,943,872,1042,675,,
48,335,129,539,225,732,295,146,371,878,869,435,944,896,1043,708,,
49,362,130,539,226,732,297,135,372,890,870,435,945,834,1044,808,,
50,359,131,544*,227,762,298,138,373,872,871,432,956,872,1045,167,,
52,356,132,548,228,743*,300,112,374,836,872,429,968,335,1046,167,,
54,326,133,548,229,762,301,112,375,836,873,429,969,410,1047,838,,
55,356,134,551,230,762,302,118,376,928,874,834,970,371,1048,838,,
57,354*,136,545,231,930,303,121,378,892,875,666,972,374,1049,164,,
59,308,137,524,232,932,304,126,379,860,876,663,975,639,1050,854,,
60,368,139,550*,233,934,305,146,380,854,877,663,976,636,1060,636,,
62,353,140,538*,234,915,306,152,381,854,878,660,977,633,1062,642,,
63,325*,142,548,235,908,307,155,382,946,879,660,978,572,1064,642,,
65,424*,143,549*,236,903,308,158,386,109,880,205,979,563,1066,645,,
66,368,144,542,238,818,309,161,387,868,881,205,1001,164,1068,645,,
68,371,145,545,239,738,310,880,388,928,882,866,1002,115,1070,771,,
69,377,146,543*,240,729,311,115,390,923,883,864,1003,840,1072,771,,
70,426,147,548,241,729,313,115,391,925,884,844,1004,844,1074,768,,
72,423,148,560,242,732,314,126,392,925,885,888,1005,308,1076,768,,
73,401,149,555*,243,732,316,123,393,936,886,872,1006,235,1080,928,,
74,347,150,557,244,744,323,837*,397,915,887,834,1007,864,1082,886,,
75,356,152,554,245,744,324,123,398,911,888,836,1008,262,1084,892,,
76,371,158,639,246,744,326,842,399,911,889,884,1009,205,1086,884,,
77,312*,159,536,253,711,328,211,400,908,890,152,1010,868,1088,854,* 40 cores,novas
